"label","point_1","point_2","point_3","point_4","point_5","point_6","point_7","point_8","point_9","point_10","point_11","point_12","point_13","point_14","point_15","point_16","point_17","point_18","point_19","point_20"
"a","-0.30000000000000004,0","-1.4000000000000001,0","-1.3,0","-0.4,0","1.1,0","2.5,0","2.7,0","1.6,0","1.3,0","2,0","3.3000000000000003,0","-1.8,0","-5.4,0","-8.700000000000001,0","-9.8,0","-8.700000000000001,0","-6.300000000000001,0","-4.800000000000001,0","-3,0","-1,0"
"a","-0.9,0","-1.9000000000000001,0","-2.1,0","-0.8,0","1.4000000000000001,0","3.8000000000000003,0","4.2,0","2.2,0","1.1,0","4.2,0","3.8000000000000003,0","0.1,0","-4.6000000000000005,0","-9,0","-10,0","-7.5,0","-5.800000000000001,0","-4.5,0","-2.9000000000000004,0","-2,0"
"a","-0.6000000000000001,0","-0.6000000000000001,0","-0.5,0","0.30000000000000004,0","2.1,0","3.4000000000000004,0","3,0","2.2,0","1.3,0","2.9000000000000004,0","4.7,0","1.4000000000000001,0","-3.5,0","-5.800000000000001,0","-8.700000000000001,0","-8.200000000000001,0","-6.7,0","-4.9,0","-3.9000000000000004,0","-3.6,0"
"a","-0.2,0","-0.1,0","0.8,0","2.2,0","3.3000000000000003,0","3,0","3.2,0","3.6,0","3.2,0","2.9000000000000004,0","0.4,0","-4.2,0","-7.300000000000001,0","-8.700000000000001,0","-8.1,0","-7.2,0","-5.2,0","-4.3,0","-3.4000000000000004,0","-3.2,0"
"b","1.5632608316078782,-1.6798773325145244","-0.3410055403985083,1.6224030486673116","-0.09221665753498673,2.486321140927076","-0.013318331256508827,3.315133433014154","0.24525530190989372,3.606048223945498","-0.01559825888723135,3.111498866128921","-1.1380276596669108,1.4504723645567894","-2.4305336411230263,-0.5496534054011106","-3.303087605911493,-3.4175106884270905","-4.3924379631057375,-7.301565121892094","0.3647914896555245,-4.305844260019064","4.604081356662512,0.354410819286108","5.50008911614418,3.6024078216165303","3.4969802387222644,4.561160498824715","3.1666704259917138,5.995697627624869","0.02065064690597355,4.648785006263852","-3.5732559614121913,1.3347931445002554","-4.751961303099989,-2.5940678144186733","-3.8523902981787916,-4.031801693433523","1.2498521770566702,-0.7390642166227102"
"b","0.02533873165696859,0.14741758962273596","0.10577128176540136,2.234728891080618","0.07544277899712323,2.5815999625116586","-0.15320925170145927,3.149250796896219","-0.12284070918373763,3.459648871454596","-0.13559256566390393,3.5740251922190187","-0.5911385313473642,3.523688505166769","-0.13477986104153095,2.6760738974541423","-0.5157077350489795,1.3912994600981472","-1.2381529714345931,0.16412673236131667","-2.4037322895675897,-2.08684836012125","-3.3590167061433194,-4.569399919381738","-3.649835050962865,-5.522609575510025","-2.1348378995254635,-4.884704470682144","-0.20965316958762703,-3.4623253971874712","2.3258035389736293,-1.3259019820362328","3.2891946896374225,0.008546879070997238","3.6893653895795344,1.210999007049203","4.050628266717493,2.5155875674217936","3.8023376887649296,3.152945559760928"
"b","0.04137943708207458,-0.2982791822195053","-0.041545843157544726,2.8604630811214444","-0.0397235961664468,2.8130530951708552","-0.49005248478874563,2.8171961863249537","-0.5743944634258746,2.6607044788867236","-0.237682455502823,2.1587322775930167","-0.5802342024300247,1.4598019184380768","-1.1278003532283007,0.6076818159997462","-2.2336153768807647,-1.5477192713439463","-3.0968361345261335,-3.3743069219946857","-3.496415882837772,-5.250611081972718","-3.0292917075634,-5.278920061612129","-0.7434965730469674,-3.9882799470931287","1.575248060391098,-2.019479289725423","3.3938328757196663,0.01803717647194862","4.156049712131917,1.6193658729285","4.5898651997834445,2.7719717277199027","3.5898075755015015,3.1716502602308987","3.065101564352214,3.754105865037441","2.0749057011321184,3.9886762529343365"
"b","-0.09317728272806852,-0.6460270364850759","0.2684984495270997,2.8012773171812295","-0.3316333894845098,2.4101865802735087","-0.798265470393002,3.0243384690701958","-0.6821618874445557,3.5242648437499997","0.6203977974489331,2.8616531676888464","-0.34795795335229485,1.5775643745094536","-1.7442828769296406,-0.5283382301717996","-1.9203626435436307,-2.5462416488826274","-3.1690199117273092,-4.800796937939524","-4.140000786867738,-6.230326467710733","-3.4444542249321937,-6.226455179235339","-0.26659024128559977,-3.17513517973721","1.8230263049073516,-1.1345365296155214","2.970820521633327,0.43914428145885465","4.086904864235222,2.3874118538856504","3.864803789550066,3.1618717935383316","3.408933998739719,4.158312688627839","2.8132547552227973,4.5419221298694605","2.044175339564681,4.71022234852314"
"b","-3.3135549316510557,-2.6800182511657473","0.28760639703571794,1.7828069611132145","0.051069677501916884,2.5122511164754626","-0.12164828452877699,3.0855694751024245","0.21183307090997694,3.9812849736392497","-0.14899287611544132,4.5515416066080325","-0.6567346007212996,3.9945185492217536","-0.8108849326651543,3.5684810020953415","-2.46203191832304,-0.38101182596385474","-3.2242040388107296,-2.641736159044504","-2.8874761757314205,-4.45950980412066","-1.8802213334217666,-5.716885362419486","-1.2906962286204098,-5.789560138007998","0.9959887674078345,-4.028005808281899","3.4559430026739832,-0.9623381344795227","4.293458825698495,1.245844694980979","4.381260151009261,2.900341502523422","2.940878972356021,3.7121822015434502","2.2859780168026687,4.357201522290707","1.1889069291632621,4.639357837226987"
"b","0.1,0","0.4,0","0.30000000000000004,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
