"label","point_1","point_2","point_3","point_4","point_5","point_6","point_7","point_8","point_9","point_10","point_11","point_12","point_13","point_14","point_15","point_16","point_17","point_18","point_19","point_20"
"a","0.2,-0.6000000000000001","0.4,-0.9","0.6000000000000001,-1.3","0.8,-1.9000000000000001","0.9,-2.3000000000000003","1,-2.4000000000000004","1.3,-2.4000000000000004","1.8,-1.8","2.4000000000000004,-0.5","3,1.2000000000000002","3.7,3","3.9000000000000004,4.9","3.5,7.7","1.8,6.9","-0.4,4.800000000000001","-2.5,2.7","-3.4000000000000004,1.3","-4.2,-0.1","-5.1000000000000005,-1.5","-5.300000000000001,-2.8000000000000003"
"a","1.1,-1.7000000000000002","1.3,-1.4000000000000001","1.4000000000000001,-1.3","1.5,-1.4000000000000001","1.6,-2","1.4000000000000001,-2.5","1.7000000000000002,-2.7","2.2,-2.4000000000000004","1.9000000000000001,-1.5","2.5,2","3.3000000000000003,4.7","3.4000000000000004,7","-1.8,4.9","-2.7,3.4000000000000004","-3.4000000000000004,1.8","-4.5,-0.30000000000000004","-5.7,-2.6","-5.800000000000001,-3.8000000000000003","-4.9,-4.6000000000000005","-3.4000000000000004,-5.1000000000000005"
"a","-0.2,1.3","-1,-0.5","-0.2,-1.4000000000000001","0.8,-2.2","2.3000000000000003,-3","2.4000000000000004,-3.4000000000000004","1.7000000000000002,-1.7000000000000002","2.4000000000000004,1.7000000000000002","3.9000000000000004,7.6000000000000005","1,8","-4.2,4","-6.1000000000000005,-1.4000000000000001","-8.4,-5.800000000000001","-8.1,-7.7","-4.800000000000001,-7.5","-2.4000000000000004,-7.9","-2.4000000000000004,-7.9","-1.8,-6.300000000000001","-1.5,-3","-2.1,1"
"a","-0.1,0.30000000000000004","-0.1,-0.4","-0.2,-1","0.30000000000000004,-1.3","0.9,-1.6","1.3,-2.1","1.7000000000000002,-2.4000000000000004","1.9000000000000001,-2.7","1.7000000000000002,-3","1.6,-2.9000000000000004","1.2000000000000002,-2.2","1.6,0.9","1.6,0.9","1.8,2.6","1.7000000000000002,4.4","0.7000000000000001,6.800000000000001","-1.3,6.1000000000000005","-3.3000000000000003,4.800000000000001","-4.7,3","-5.7,0.8"
"a","-0.1,0.2","-0.1,-0.5","0.5,-1.4000000000000001","1.3,-1.7000000000000002","2,-1.9000000000000001","2.4000000000000004,-2.3000000000000003","2.5,-2.7","2.3000000000000003,-3.3000000000000003","1.7000000000000002,-3.8000000000000003","0.8,-4.1000000000000005","0.9,-0.9","1.9000000000000001,1.4000000000000001","2.7,3.8000000000000003","3.2,6.1000000000000005","3.2,7.2","2.3000000000000003,7.2","0.2,6.4","-2.2,4.800000000000001","-4.1000000000000005,2.9000000000000004","-5.9,0.8"
"a","-0.8,1.3","-1.3,0.4","-0.8,-0.7000000000000001","0.6000000000000001,-1.6","1.7000000000000002,-2.5","2.7,-3.2","2.6,-3.7","1.1,-2.1","2.1,4.2","1.4000000000000001,6.7","-3.2,5","-6.6000000000000005,1.4000000000000001","-9.200000000000001,-3","-9.4,-5.6000000000000005","-7.1000000000000005,-6.9","-4.2,-7.800000000000001","-3.1,-8.3","-2.3000000000000003,-7.9","-1.4000000000000001,-6.7","-1.4000000000000001,-4.4"
"a","0.4,0.4","0.5,0.5","0.2,0.2","-0.1,-0.1","-0.1,-0.2","0.30000000000000004,-0.6000000000000001","0.8,-1.1","1.1,-1.6","1.4000000000000001,-2.2","1.7000000000000002,-3.1","1.4000000000000001,-4.1000000000000005","1.3,-3.9000000000000004","1,-3.1","0.9,-1.8","0.7000000000000001,-0.4","0.4,1.2000000000000002","0.2,3.1","-0.30000000000000004,5","-1.4000000000000001,5.7","-3,5.2"
"a","1.4000000000000001,-1.4000000000000001","2.3000000000000003,-1.7000000000000002","2.7,-2.2","2.9000000000000004,-2.8000000000000003","3.1,-3.3000000000000003","2.9000000000000004,-3.8000000000000003","2.2,-4.1000000000000005","1.2000000000000002,-4.3","0.5,-3.9000000000000004","1,-2.3000000000000003","2.2,0.4","2.8000000000000003,2.9000000000000004","2.3000000000000003,4.800000000000001","0.4,5.5","-0.6000000000000001,5","-0.6000000000000001,5","-2.1,4.800000000000001","-2.9000000000000004,4","-3.9000000000000004,2","-4.800000000000001,-0.6000000000000001"
"a","-0.5,2.4000000000000004","-0.8,1.4000000000000001","-1.1,0.7000000000000001","-1.3,0.1","-1,-0.6000000000000001","-0.30000000000000004,-1.4000000000000001","0.6000000000000001,-2","1.4000000000000001,-2.6","1.9000000000000001,-3.2","2.2,-3.7","2.4000000000000004,-4","1.7000000000000002,-4.7","-0.1,-5.2","-0.1,-2.9000000000000004","2.4000000000000004,2.2","3.4000000000000004,4.3","3.7,6.2","2.6,7.7","0.30000000000000004,6.4","-2.7,5"
"a","-0.30000000000000004,1.3","-0.5,0.1","-0.4,-0.9","0.6000000000000001,-1.6","1.8,-2.8000000000000003","0.30000000000000004,-3.9000000000000004","-0.4,-2.9000000000000004","1.1,0.2","2.6,4.3","1.4000000000000001,6","-2.1,4.6000000000000005","-6.300000000000001,-0.7000000000000001","-9.1,-4.9","-8.3,-6.9","-6.1000000000000005,-8","-4.4,-8.9","-2.1,-7.4","-1,-6","0.2,-3.9000000000000004","-0.30000000000000004,-1.1"
