"label","point_1","point_2","point_3","point_4","point_5","point_6","point_7","point_8","point_9","point_10","point_11","point_12","point_13","point_14","point_15","point_16","point_17","point_18","point_19","point_20"
"a","0.1,-0.2","0.1,-1.2000000000000002","0.1,-1.8","0.4,-2.2","1.6,-3","1.6,-3.4000000000000004","1.6,-3.7","1.6,-3.7","1.3,-3.4000000000000004","1.2000000000000002,-2.2","1.6,-0.2","1.9000000000000001,2.1","1.9000000000000001,4.1000000000000005","1.9000000000000001,5.5","1.4000000000000001,5.7","-0.4,5.300000000000001","-2.6,4.5","-4.2,3.4000000000000004","-5.4,1.6","-6.4,-0.7000000000000001"
"a","0.6000000000000001,-2.8000000000000003","0.7000000000000001,-2.7","0.8,-3","0.8,-3.6","0.7000000000000001,-3.9000000000000004","0.6000000000000001,-4.1000000000000005","0.5,-4.3","0.30000000000000004,-4.3","0.30000000000000004,-3.8000000000000003","0.8,-2.7","1.3,-1.2000000000000002","1.6,0.6000000000000001","1.9000000000000001,2.6","2.1,4.4","2,5.7","1.4000000000000001,5.6000000000000005","-0.9,4.800000000000001","-0.9,4.800000000000001","-1.8,3.9000000000000004","-2.8000000000000003,2.3000000000000003"
"a","0.1,-0.1","0.1,-0.2","0.30000000000000004,-0.2","0.7000000000000001,-0.30000000000000004","1.1,-0.8","1.8,-2.5","1.8,-2.5","2.1,-1.5","2.7,-0.8","3.3000000000000003,-0.2","3.5,1.2000000000000002","3,2.2","2.4000000000000004,2.9000000000000004","1.5,3.5","0.5,3.4000000000000004","-0.7000000000000001,2.6","-2,1","-3.2,-1","-5,-3.5","-5.2,-3.6"
"a","0.5,-1","0.5,-1.1","0.4,-1.3","0.5,-1.4000000000000001","0.8,-1.8","1.2000000000000002,-2.2","1.8,-2.1","2.9000000000000004,-1.4000000000000001","3.8000000000000003,-0.7000000000000001","3.9000000000000004,0.9","3.6,1.8","1.6,2.7","0.6000000000000001,2.4000000000000004","-0.30000000000000004,1.8","-1.3,1.3","-2.2,0.6000000000000001","-3.4000000000000004,-0.8","-4.6000000000000005,-2.1","-5.6000000000000005,-2.8000000000000003","-5.6000000000000005,-2.9000000000000004"
"a","-0.1,0.9","-1.2000000000000002,0.5","-1.6,-0.8","-1.3,-1.2000000000000002","-0.2,-1.8","3.7,-2.7","6,-5.7","5.6000000000000005,2.1","8.700000000000001,6.7","2.9000000000000004,2.4000000000000004","0.30000000000000004,0.7000000000000001","-4.4,-6.4","-8.6,-9.200000000000001","-8.9,-10.200000000000001","-7.4,-8.700000000000001","-5.800000000000001,-7.1000000000000005","-4.1000000000000005,-6.5","1.1,-1.8","3.9000000000000004,4.7","-1.4000000000000001,0.2"
"a","0.2,-0.9","-0.4,-1.1","0.30000000000000004,-1.8","2.2,-3.6","4.6000000000000005,-5.800000000000001","3.2,-4.800000000000001","5.5,2.4000000000000004","6.1000000000000005,3.2","5.9,3.5","4.2,2.7","-1.1,-3.4000000000000004","-6.800000000000001,-8.700000000000001","-8.700000000000001,-9.5","-9.1,-9.9","-6.1000000000000005,-7.300000000000001","-4.3,-6.5","-1.2000000000000002,-4.9","4.9,1","5.800000000000001,4.2","1.6,1.3"
"a","0.1,-1.1","0.2,-1.4000000000000001","0.5,-1.4000000000000001","1,-1.4000000000000001","1.2000000000000002,-1.7000000000000002","1.1,-3.1","1,-4.3","1.6,-4.7","3.2,-3","5.9,1.1","6.5,3.9000000000000004","6.7,5.1000000000000005","6.2,5.7","4.800000000000001,5.1000000000000005","1.9000000000000001,3.5","1.8,3.3000000000000003","-2.8000000000000003,-2.1","-5.9,-4.7","-8.4,-5.800000000000001","-8.4,-5.800000000000001"
"a","0.1,1.8","-1,1","-1.4000000000000001,-0.1","-1.6,-1","-0.6000000000000001,-2.1","2.2,-3.2","3.5,-5.1000000000000005","2.3000000000000003,-7.4","0.30000000000000004,-3.9000000000000004","4.2,2.2","3.6,7.2","-2.1,5.800000000000001","-4.6000000000000005,3.8000000000000003","-7.1000000000000005,-1.4000000000000001","-9.200000000000001,-5.300000000000001","-8.3,-6.9","-6.300000000000001,-6.800000000000001","-5.6000000000000005,-7.300000000000001","-4.6000000000000005,-6.6000000000000005","-1.7000000000000002,-4.3"
"a","-0.2,0.9","-0.8,1.4000000000000001","-1.2000000000000002,0.7000000000000001","-1.4000000000000001,-0.5","-1,-1.7000000000000002","0.8,-2.5","3.5,-3.5","2.9000000000000004,-4.800000000000001","1.9000000000000001,-3.3000000000000003","3.6,0.30000000000000004","2.8000000000000003,3.2","-1.1,3.7","-2.6,2.8000000000000003","-5.300000000000001,-0.2","-6.7,-3.1","-5.300000000000001,-4","-3.4000000000000004,-5.1000000000000005","-2.1,-6.5","-2,-6.800000000000001","-2.3000000000000003,-6.7"
"a","-0.1,0.7000000000000001","-0.30000000000000004,0.4","-0.7000000000000001,-0.6000000000000001","-0.5,-0.9","0.6000000000000001,-1.4000000000000001","1.4000000000000001,-1.7000000000000002","1.9000000000000001,-2.2","1.9000000000000001,-2.6","1.5,-2.7","1.3,-2.5","1.2000000000000002,-2","1.1,-1.2000000000000002","1.6,1.2000000000000002","1.3,4.1000000000000005","0.30000000000000004,5.300000000000001","-1.3,5.1000000000000005","-3.5,4.2","-5.1000000000000005,2.8000000000000003","-6.2,1.5","-6.6000000000000005,0.4"
"a","0.4,-1.6","1,-2.2","1.9000000000000001,-2.9000000000000004","2.5,-3.4000000000000004","2.8000000000000003,-3.7","2.5,-4","2.3000000000000003,-4.1000000000000005","1.7000000000000002,-4","1.1,-3.2","0.6000000000000001,-1.7000000000000002","1.2000000000000002,2","2.1,4.4","2.8000000000000003,7.2","0.7000000000000001,6.6000000000000005","-1.4000000000000001,5.6000000000000005","-3,3.9000000000000004","-4,1.9000000000000001","-5.1000000000000005,0.1","-6.1000000000000005,-1.6","-6.9,-3.4000000000000004"
"a","-0.30000000000000004,-1","-0.30000000000000004,-1.8","0.2,-2.7","1,-3.2","2.2,-3.3000000000000003","3.4000000000000004,-3.3000000000000003","3.6,-3.5","3,-3.6","1.9000000000000001,-3.4000000000000004","1.4000000000000001,-2.6","1.5,-1","2.4000000000000004,3.4000000000000004","2.6,5.1000000000000005","2.1,6.1000000000000005","0.7000000000000001,6.1000000000000005","-0.7000000000000001,5.9","-2.2,5.4","-3.6,3.7","-5.2,1.2000000000000002","-6.6000000000000005,-1.1"
"a","0.5,-0.7000000000000001","0.7000000000000001,-0.7000000000000001","0.7000000000000001,-1.2000000000000002","1,-1.8","1.1,-2.3000000000000003","1.2000000000000002,-2.5","1.4000000000000001,-2.6","1.7000000000000002,-2.7","1.8,-2.8000000000000003","1.6,-2.9000000000000004","1.2000000000000002,-2.7","0.9,-2.2","0.7000000000000001,-0.9","1.2000000000000002,1.3","2.3000000000000003,3.4000000000000004","3,5.1000000000000005","1.2000000000000002,6.7","-0.6000000000000001,5.6000000000000005","-1.9000000000000001,3.8000000000000003","-2.9000000000000004,2.3000000000000003"
"a","-0.2,-0.5","-0.9,-1.3","-0.5,-1.4000000000000001","0.1,-2.1","1.4000000000000001,-2.7","2.2,-3.2","1.8,-2.9000000000000004","1.7000000000000002,-0.9","1.7000000000000002,4.800000000000001","-0.7000000000000001,4.3","-4.1000000000000005,3","-6.9,-0.5","-8.8,-4.800000000000001","-7.5,-6.2","-5.300000000000001,-7.7","-2.9000000000000004,-7.7","-1.6,-7.300000000000001","-0.4,-6.2","0.4,-4.800000000000001","-1.8,-1.4000000000000001"
"b","-0.4,1.9000000000000001","-0.2,1.6","-0.4,0.6000000000000001","-0.4,-0.8","0.2,-1.7000000000000002","0.8,-2.6","1,-3.9000000000000004","1.3,-5.1000000000000005","1.2000000000000002,-4.9","1.7000000000000002,-3.7","1.7000000000000002,-1.7000000000000002","1.2000000000000002,0.5","1.4000000000000001,4.3","1.5,7.7","-1.2000000000000002,5.800000000000001","-2.8000000000000003,2","-2.9000000000000004,-0.7000000000000001","-2.9000000000000004,-4.4","-1.9000000000000001,-4.800000000000001","1.2000000000000002,-4.3"
"b","-0.1,0.5","-0.30000000000000004,-1.4000000000000001","0.30000000000000004,-3.1","0.8,-4.9","0.7000000000000001,-5.2","1.2000000000000002,-5.7","1.3,-3.6","1.1,0.5","1.9000000000000001,5.800000000000001","2.2,10.100000000000001","-0.4,8.1","-2.9000000000000004,3.4000000000000004","-4.4,-0.30000000000000004","-5.7,-3.4000000000000004","-5.2,-4.9","-3,-5.1000000000000005","-0.8,-4.9","1.8,-3.4000000000000004","4,-0.4","1.8,1.7000000000000002"
"b","0.1,-1.7000000000000002","0.1,-1.5","-0.1,-2.2","-0.2,-2.7","-0.30000000000000004,-3","-0.1,-3.4000000000000004","0.2,-3.6","0.6000000000000001,-3.8000000000000003","0.9,-4","1.2000000000000002,-4.3","1.3,-4.2","1.5,-3.8000000000000003","1.5,-3.2","1.3,-2.3000000000000003","1.3,-1.1","1.5,0.1","1.9000000000000001,3.9000000000000004","1.9000000000000001,3.9000000000000004","1.3,7.800000000000001","0.2,7.7"
"b","0.30000000000000004,-1.7000000000000002","0.4,-1.4000000000000001","0.30000000000000004,-1.7000000000000002","0.2,-1.9000000000000001","0.2,-1.7000000000000002","0.4,-1.6","0.30000000000000004,-1.7000000000000002","-0.1,-2.2","-0.4,-2.4000000000000004","0.2,-1.7000000000000002","2,0.8","2.1,2.1","2.3000000000000003,3.5","2.4000000000000004,5.2","1.5,5.300000000000001","-0.1,5.5","-1.5,3.6","-2.4000000000000004,1.2000000000000002","-2.3000000000000003,-0.8","-1.6,-3.2"
"b","0.2,-0.9","0.2,-1.7000000000000002","0.6000000000000001,-3","0.6000000000000001,-3.8000000000000003","0.6000000000000001,-4.7","0.5,-5.1000000000000005","0.6000000000000001,-3.7","1.2000000000000002,-0.5","1.5,2","1,4.5","0.2,7.1000000000000005","-1.7000000000000002,4","-2.9000000000000004,0.8","-4.3,-2.7","-5.2,-5.1000000000000005","-5,-5.9","-3.3000000000000003,-5.800000000000001","-1,-4.7","1.5,-3.1","2.4000000000000004,-1.5"
"b","0.30000000000000004,-1.6","0.1,-2.5","0.1,-2.8000000000000003","0.1,-2.9000000000000004","0.7000000000000001,-1.9000000000000001","0.5,-1","1.4000000000000001,1","1.9000000000000001,3.1","1.4000000000000001,5.800000000000001","-0.8,5.2","-2.6,3","-3.8000000000000003,0.4","-4.6000000000000005,-1.7000000000000002","-4.3,-3.2","-3.1,-3.8000000000000003","-1.7000000000000002,-4.3","0.4,-3.5","1.8,-2.5","1.9000000000000001,-1.2000000000000002","0.7000000000000001,0.4"
"b","0.1,-1.5","0.1,-1.6","0.1,-1.8","0.30000000000000004,-2.1","0.4,-2.5","0.30000000000000004,-2.7","0.30000000000000004,-2.8000000000000003","0.4,-3.1","0.6000000000000001,-3.2","0.8,-2.9000000000000004","0.7000000000000001,-2.7","0.2,-2.4000000000000004","-0.1,-1.9000000000000001","0.1,-1.4000000000000001","0.5,-0.5","1,0.30000000000000004","1.7000000000000002,2.3000000000000003","1.6,3.5","1.3,5","1.1,5.9"
"b","0.1,-0.5","-0.1,-0.8","-0.2,-1.3","0.2,-1.8","0.5,-2.1","1,-2.4000000000000004","1.3,-2.6","1.8,-2.9000000000000004","2.1,-3","2.2,-3.1","2.2,-3.1","1.9000000000000001,-3","1.3,-2.8000000000000003","1,-2.2","1,-1.4000000000000001","1,-0.4","1,0.5","0.7000000000000001,1.1","0.30000000000000004,1.8","-0.2,2.8000000000000003"
"b","0.5,-1.7000000000000002","0.4,-1.6","0.6000000000000001,-2.2","0.9,-2.7","1.1,-3.1","1.2000000000000002,-3.6","1.1,-4","1.2000000000000002,-4.2","0.9,-4.4","0.8,-4.5","0.8,-4.5","1.2000000000000002,-4.3","1.6,-3.8000000000000003","1.5,-3.1","1.1,-2.2","0.4,-1.3","-0.2,0.6000000000000001","0.5,1.5","1.2000000000000002,2.5","1.4000000000000001,3.1"
"b","0.30000000000000004,-1.6","0.5,-1.6","0.4,-1.6","0.4,-1.9000000000000001","0.5,-1.9000000000000001","0.6000000000000001,-2.1","0.6000000000000001,-2.4000000000000004","0.5,-2.5","0.6000000000000001,-2.7","0.6000000000000001,-2.9000000000000004","0.6000000000000001,-3.1","0.7000000000000001,-3.1","0.8,-2.9000000000000004","1,-2.5","1.1,-2","0.4,-1","0.8,1.2000000000000002","0.7000000000000001,2","0.8,3.1","0.8,4.4"
"b","0.5,-2.3000000000000003","0.7000000000000001,-2.4000000000000004","0.4,-3","0.5,-2.9000000000000004","0.8,-2.6","0.6000000000000001,-2","-0.4,-1.3","0.2,1.9000000000000001","0.9,3.4000000000000004","2.6,5.9","1.6,5.5","-0.2,2.9000000000000004","-1.2000000000000002,0.6000000000000001","-3.1,-1.8","-3.4000000000000004,-3.6","-2,-3.9000000000000004","-0.1,-3.5","1.6,-2.7","3.5,-1","3.5,0.8"
"b","0.30000000000000004,-1.7000000000000002","0.30000000000000004,-2","0.4,-2.5","0.30000000000000004,-2.8000000000000003","0.5,-2.3000000000000003","0.6000000000000001,-2","0.5,-0.6000000000000001","0.6000000000000001,1.2000000000000002","0.5,2.2","0.1,3.6","-0.7000000000000001,3.7","-1.8,4","-3.3000000000000003,2.6","-4,0.5","-5,-1.6","-4.4,-2.7","-3.4000000000000004,-3.5","0.30000000000000004,-2.9000000000000004","2.2,-2.1","3.1,-1.2000000000000002"
"b","0.30000000000000004,-1.8","0.5,-2.4000000000000004","0.6000000000000001,-3.4000000000000004","0.8,-3.6","0.8,-3.4000000000000004","0.5,-2.5","0.5,-1.8","0.2,-0.8","1.1,1.9000000000000001","2.3000000000000003,4.2","2,4.9","-0.4,4.3","-3,1.8","-4.5,-1.1","-4.7,-2.8000000000000003","-2.1,-3.4000000000000004","0.2,-3.2","1.5,-2.7","2.1,-1.7000000000000002","2,-0.4"
"b","0.1,-2","-0.1,-2.6","0.1,-2.1","-0.1,-1.7000000000000002","0.1,-1.3","0.7000000000000001,-0.8","0.6000000000000001,0.4","1,1.6","1,3","-0.7000000000000001,3.3000000000000003","-1.8,2.1","-2.8000000000000003,0.5","-3.7,-1.5","-3.8000000000000003,-2.7","-2.7,-3.6","-1.3,-3.4000000000000004","0.1,-2.8000000000000003","1.1,-2.2","1.2000000000000002,-1.3","1,0.2"
"b","0.30000000000000004,-1.3","-0.2,-2.5","-0.2,-2.7","0.1,-2.8000000000000003","0.2,-2.6","0.30000000000000004,-2.5","0.4,-2.3000000000000003","0.4,-1.9000000000000001","0.4,-1.5","0.5,-1.2000000000000002","1.1,-0.6000000000000001","1.6,1.9000000000000001","1.3,2.5","1,3.4000000000000004","0.9,4.2","0.4,4.3","-0.8,3.6","-2.1,2.8000000000000003","-3.3000000000000003,1.8","-4,0.8"
"b","0.4,-2.1","0.4,-2.7","0.5,-2.8000000000000003","0.2,-2.8000000000000003","0.30000000000000004,-2","1,-1.5","0.9,-0.5","0.2,1.3","0.1,2.3000000000000003","-0.8,3.9000000000000004","-1.8,3","-2.9000000000000004,0.9","-3.8000000000000003,-1.3","-3.7,-2.7","-2.9000000000000004,-3.6","-1.4000000000000001,-3.7","0.1,-3.2","1.5,-2.4000000000000004","2,-1.3","1.2000000000000002,-0.4"
"b","-0.1,-2.1","-0.1,-2.5","-0.1,-2","-0.1,-1","-0.9,-1.3","-0.1,-0.7000000000000001","0.2,0.1","0.6000000000000001,0.8","0.7000000000000001,0.9","1.5,1.7000000000000002","1.9000000000000001,2.2","1.7000000000000002,2","1.3,1.8","-0.8,0.8","-1.8,0.5","-2.4000000000000004,-0.2","-2.3000000000000003,-1.5","-2,-2.2","1,-2.3000000000000003","2.4000000000000004,-1.8"
"b","0.4,-2.2","0.1,-2.1","-0.2,-2.3000000000000003","-0.1,-2","-0.1,-1.9000000000000001","0.30000000000000004,-0.6000000000000001","1,0.6000000000000001","0.9,2.6","1,3.1","-0.1,2.2","-1.2000000000000002,1.8","-2.5,0.8","-3.1,-0.7000000000000001","-3.1,-1.6","-2.7,-2.3000000000000003","-1.7000000000000002,-2.7","-0.6000000000000001,-2.7","1.2000000000000002,-1.9000000000000001","2,-1.1","1.5,-0.6000000000000001"
"b","-0.1,-1","-0.1,-1.5","0.1,-1.7000000000000002","-0.30000000000000004,-1.9000000000000001","-0.4,-1.5","1,-0.4","0.7000000000000001,-0.1","0.4,0.7000000000000001","0.7000000000000001,1.3","-0.4,1.4000000000000001","-1.9000000000000001,1.5","-1.8,1.6","-1.5,1.4000000000000001","-2.2,0.1","-2.2,-0.9","-2.1,-1.6","-1.8,-2.4000000000000004","-1.5,-2.5","0.8,-2.2","1.5,-1.8"
"b","-0.1,-0.6000000000000001","-0.1,-1.5","0.2,-2.2","0.2,-2.2","0.30000000000000004,-2.4000000000000004","0.8,-1.4000000000000001","0.8,-0.7000000000000001","0.7000000000000001,0.30000000000000004","1.4000000000000001,1.6","1.5,3.2","0.7000000000000001,3.4000000000000004","-1.5,2.4000000000000004","-2.3000000000000003,0.6000000000000001","-2.7,-0.9","-3.1,-2.3000000000000003","-2.4000000000000004,-2.7","-1.5,-2.8000000000000003","0.2,-2.6","1.6,-1.8","1.9000000000000001,-1.3"
"b","0.2,-1.5","0.2,-1.4000000000000001","-0.1,-2.1","0.2,-2","1,-1.2000000000000002","1.2000000000000002,-0.30000000000000004","0.4,1","0.30000000000000004,1.9000000000000001","-0.1,2.9000000000000004","-1.1,4.1000000000000005","-1.4000000000000001,3.8000000000000003","-2.5,2","-3.8000000000000003,-0.2","-4.5,-2","-3.5,-2.8000000000000003","-1.5,-3","0.8,-2.3000000000000003","2.4000000000000004,-1.6","2.7,-0.7000000000000001","1.6,-0.30000000000000004"
"b","0.2,-2.1","0.30000000000000004,-2.1","0.2,-2.7","0.2,-2.8000000000000003","0.2,-2.9000000000000004","0.4,-3.3000000000000003","1.4000000000000001,-2.2","2.1,-0.4","2,1.8","1.5,3.1","0.2,4","-1.8,3.6","-3.5,2.2","-4.6000000000000005,0.2","-5.1000000000000005,-2","-4.5,-3.1","-3.4000000000000004,-3.7","-1.1,-3.6","-0.4,-3.4000000000000004","1.7000000000000002,-1.8"
"b","0.8,-2.8000000000000003","0.7000000000000001,-2.8000000000000003","0.30000000000000004,-3.2","-0.1,-2.9000000000000004","0.2,-2","0.8,-1.1","1,-0.5","1.2000000000000002,0.9","1.4000000000000001,2.9000000000000004","1,3.1","-0.1,3.4000000000000004","-2.1,2.3000000000000003","-3.5,0.4","-4.1000000000000005,-1.1","-4.3,-2.6","-3.5,-3.4000000000000004","-2.4000000000000004,-3.6","-0.7000000000000001,-3.3000000000000003","0.7000000000000001,-2.7","1.6,-2.3000000000000003"
"b","0.6000000000000001,-2.7","0.2,-2.6","0.1,-2.6","-0.2,-2.2","-0.30000000000000004,-1.5","1.1,-0.1","0.9,0.5","0.6000000000000001,2.1","0.7000000000000001,2.7","-0.7000000000000001,2.8000000000000003","-2.2,1.9000000000000001","-3,0.4","-3.2,-1.3","-3.2,-2.4000000000000004","-2.5,-2.9000000000000004","-1.1,-3","-0.1,-3","1.2000000000000002,-2.3000000000000003","2.3000000000000003,-1.5","1.7000000000000002,-1"
"b","0.4,-2.2","0.2,-2.7","-0.1,-3.1","-0.1,-2.7","0.2,-2","0.2,-1.6","0.4,-0.7000000000000001","1.4000000000000001,1.3","1.5,2.5","1.8,3.6","0.8,3.4000000000000004","-0.9,2.4000000000000004","-2.1,1.1","-3.2,-0.8","-3.4000000000000004,-2.2","-2.6,-2.9000000000000004","-1,-2.9000000000000004","0.30000000000000004,-2.8000000000000003","1.5,-2.2","1.4000000000000001,-1"
"b","0.1,-0.8","0.1,-0.7000000000000001","0.1,-1.1","0.1,-1.5","0.2,-1.8","0.2,-2","0.5,-2.2","0.8,-2.4000000000000004","1.1,-2.1","1.1,-1.8","0.9,-1.5","0.9,-1.5","0.9,-1.4000000000000001","0.2,-1.3","-0.2,-1.1","-0.4,-1.1","-0.4,-0.7000000000000001","-0.1,-0.4","0.4,0.5","0.5,0.9"
"c","-0.30000000000000004,0.4","-0.7000000000000001,0.7000000000000001","-0.7000000000000001,0.9","-0.6000000000000001,0.8","-0.5,0.6000000000000001","-0.8,0.2","-1.1,-0.30000000000000004","-1,-0.9","-0.8,-1.1","0.9,-1.4000000000000001","1.6,-1.6","2.1,-1.8","2.7,-1.8","3,-1.7000000000000002","2.5,-1.6","2.1,-1.3","2.2,-0.8","2.5,-0.30000000000000004","2.6,0.5","2.3000000000000003,1.2000000000000002"
"c","-0.2,0.4","-0.30000000000000004,0.2","-0.4,-0.30000000000000004","-0.2,-0.7000000000000001","0.30000000000000004,-0.9","0.9,-1","1.3,-1.4000000000000001","1.4000000000000001,-1.9000000000000001","1.5,-2.2","1.6,-2.4000000000000004","2.1,-2.2","2.4000000000000004,-1.5","2.6,-0.8","2.3000000000000003,-0.2","1.6,1","1.6,1.5","1.5,1.8","0.8,2.2","-0.30000000000000004,2.7","-1.5,3.1"
"c","-0.4,0.2","-0.6000000000000001,-0.30000000000000004","-0.4,-0.5","-0.1,-0.5","0.1,-0.7000000000000001","0.30000000000000004,-1.1","0.7000000000000001,-1.5","1,-1.9000000000000001","1.1,-2.1","1.4000000000000001,-1.8","1.8,-1.3","2.1,-0.8","1.9000000000000001,-0.4","1.8,0.5","1.7000000000000002,0.8","1.5,1.1","1.2000000000000002,1.4000000000000001","0.5,1.8","-1.5,2.1","-2.6,2.3000000000000003"
"c","0.1,-0.2","0.2,-0.4","0.30000000000000004,-0.9","0.6000000000000001,-1.5","0.9,-1.7000000000000002","1.2000000000000002,-1.9000000000000001","1.7000000000000002,-2","2.1,-1.9000000000000001","2.3000000000000003,-1.9000000000000001","2.1,-1.2000000000000002","1.8,-0.7000000000000001","1.6,-0.2","1.4000000000000001,0.30000000000000004","1.2000000000000002,0.8","1,1.4000000000000001","1,2.1","0.6000000000000001,2.8000000000000003","-0.30000000000000004,2.9000000000000004","0,0","0,0"
"c","-0.2,0.5","-0.2,0.4","0.2,-0.4","0.4,-0.9","0.7000000000000001,-1.4000000000000001","1.1,-1.9000000000000001","1.6,-2.2","2.3000000000000003,-2.3000000000000003","2.8000000000000003,-2.2","3.3000000000000003,-2","3.2,-1.6","2.7,-0.9","2.3000000000000003,-0.5","0.6000000000000001,0.2","0.2,0.6000000000000001","-0.4,1.1","-1,1.7000000000000002","-1.5,2.2","-2.5,2.4000000000000004","0,0"
